c_loss,d_loss,e_loss,elapsed_time,epoch,g_loss,step,total_loss,val_c_loss,val_d_accuracy,val_d_loss,val_e_loss,val_g_loss,val_total_loss
7.762024879455566,-282.7776184082031,16.32888412475586,235.56393432617188,0,-401.3197937011719,49,-660.0065307617188,,,,,,
8.22939395904541,-271.15228271484375,11.442903518676758,407.24725341796875,0,-828.396240234375,99,-1079.8763427734375,,,,,,
9.044126510620117,-117.44770050048828,1.880323886871338,456.44927978515625,0,-300.75799560546875,149,-407.28125,,,,,,
,,,491.5161437988281,0,,171,,7.979727268218994,48.40288162231445,-425.9059753417969,-10.885656356811523,-87.40711212158203,-516.218994140625
7.255694389343262,-87.86185455322266,4.776559352874756,533.0750122070312,1,-480.6451416015625,199,-556.4747924804688,,,,,,
5.997951030731201,-91.62413024902344,13.723508834838867,557.9071044921875,1,-582.8602294921875,249,-654.762939453125,,,,,,
5.15511417388916,-268.7674255371094,22.82557487487793,582.5205078125,1,35.35373306274414,299,-205.43299865722656,,,,,,
,,,606.251708984375,1,,343,,5.6229681968688965,-12.05866813659668,-639.1263427734375,24.506052017211914,161.63771057128906,-447.35968017578125
5.590758323669434,-17.788185119628906,23.89434814453125,627.2276000976562,2,-267.4056396484375,349,-255.70870971679688,,,,,,
13.054512023925781,-84.16094970703125,1.6169201135635376,652.951171875,2,-185.9832305908203,399,-255.47274780273438,,,,,,
8.795774459838867,-160.67132568359375,14.094460487365723,677.5375366210938,2,-154.96470642089844,449,-292.7458190917969,,,,,,
10.485359191894531,-77.6393814086914,13.047438621520996,702.2548828125,2,-207.1533203125,499,-261.2599182128906,,,,,,
,,,712.2070922851562,2,,515,,14.866175651550293,-109.64949035644531,-261.7762756347656,25.686140060424805,289.01531982421875,67.79132080078125
8.632013320922852,-84.26384735107422,10.952332496643066,748.94775390625,3,153.32958984375,549,88.65008544921875,,,,,,
9.48133659362793,-68.80899047851562,11.631416320800781,773.7877197265625,3,-199.30810546875,599,-247.00436401367188,,,,,,
7.94795036315918,-15.954689025878906,9.896206855773926,798.2049560546875,3,-101.85731506347656,649,-99.96784210205078,,,,,,
,,,818.6181030273438,3,,687,,14.76504898071289,-54.833805084228516,-315.54705810546875,-2.0504724979400635,113.33350372314453,-189.4989776611328
9.00833797454834,-68.95477294921875,-2.452587127685547,843.6639404296875,4,-94.54170227050781,699,-156.94073486328125,,,,,,
7.668859958648682,-30.376310348510742,3.2655701637268066,868.3993530273438,4,60.03731155395508,749,40.59543228149414,,,,,,
9.35054874420166,-71.14688873291016,2.092799425125122,893.1945190429688,4,-67.49425506591797,799,-127.19779205322266,,,,,,
9.593999862670898,-10.552166938781738,-2.675507068634033,918.7445678710938,4,-327.65887451171875,849,-331.29254150390625,,,,,,
,,,925.7461547851562,4,,859,,59.85734939575195,-19.94080352783203,-316.4234619140625,-12.81062126159668,46.12740707397461,-223.24935913085938
8.156477928161621,-25.48143196105957,1.5964994430541992,964.6649169921875,5,-36.42241668701172,899,-52.1508674621582,,,,,,
1.6729717254638672,-39.305912017822266,-2.2351088523864746,989.2012329101562,5,-11.896747589111328,949,-51.764793395996094,,,,,,
13.69455623626709,-101.68809509277344,-21.37042808532715,1013.7620239257812,5,-169.99502563476562,999,-279.3589782714844,,,,,,
,,,1031.4295654296875,5,,1031,,41.26102066040039,6.991125583648682,-408.896484375,-40.859806060791016,-6.994958400726318,-415.4902038574219
11.381661415100098,-72.3228988647461,-17.96936798095703,1060.1905517578125,6,81.11656188964844,1049,2.2059555053710938,,,,,,
8.364907264709473,-70.29676055908203,-12.844696044921875,1084.6290283203125,6,-328.54034423828125,1099,-403.31689453125,,,,,,
6.734369277954102,-25.630218505859375,-14.30803108215332,1109.246337890625,6,-78.00032043457031,1149,-111.2042007446289,,,,,,
6.753559589385986,-56.96455383300781,-19.89605712890625,1134.3818359375,6,88.8295669555664,1199,18.722515106201172,,,,,,
,,,1138.6878662109375,6,,1203,,77.78079223632812,-82.1935043334961,-237.78823852539062,-92.15512084960938,203.4609832763672,-48.70161437988281
9.113351821899414,-34.50032424926758,-18.495807647705078,1173.18359375,7,-109.92344665527344,1249,-153.80621337890625,,,,,,
8.280056953430176,-6.741803169250488,-12.348713874816895,1197.755615234375,7,-269.9646911621094,1299,-280.775146484375,,,,,,
7.177272796630859,-9.182046890258789,-13.902931213378906,1222.3846435546875,7,-196.30477905273438,1349,-212.21249389648438,,,,,,
,,,1237.99169921875,7,,1375,,9.212438583374023,-51.31602096557617,-229.39187622070312,-49.6616325378418,108.44003295898438,-161.4010772705078
7.761238098144531,8.832062721252441,-2.4209249019622803,1263.2294921875,8,63.315704345703125,1399,77.48808288574219,,,,,,
6.818825721740723,24.01929473876953,-1.4035248756408691,1287.7220458984375,8,-409.0284423828125,1449,-379.5938720703125,,,,,,
10.219728469848633,-21.184406280517578,-7.690358638763428,1312.2244873046875,8,-146.45211791992188,1499,-165.10714721679688,,,,,,
,,,1338.5511474609375,8,,1547,,107.80475616455078,-23.66791534423828,-201.3363037109375,-62.02589797973633,47.38423156738281,-108.17318725585938
5.048140525817871,-11.635746955871582,-7.899781703948975,1350.760986328125,9,-158.34884643554688,1549,-172.8362274169922,,,,,,
7.247617721557617,-2.7316782474517822,-15.633577346801758,1375.2542724609375,9,-183.06968688964844,1599,-194.18731689453125,,,,,,
5.9870195388793945,-1.9848229885101318,-8.179058074951172,1399.879150390625,9,-225.20098876953125,1649,-229.3778533935547,,,,,,
