epoch,epsilon,step,train_loss_epoch,train_loss_step,validation_loss_epoch,validation_loss_step
0,,0,,0.24004890024662018,,
0,,1,,0.20950791239738464,,
0,,2,,0.19342029094696045,,
0,,3,,0.1923094391822815,,
,,0,,,,0.1909772902727127
,,1,,,,0.1909772902727127
0,,3,,,0.1909772902727127,
0,4.44984769821167,3,0.208821639418602,,,
1,,4,,0.1909772902727127,,
1,,5,,0.18723231554031372,,
1,,6,,0.1864856481552124,,
1,,7,,0.18348295986652374,,
,,2,,,,0.18123285472393036
,,3,,,,0.18123285472393036
1,,7,,,0.18123285472393036,
1,7.354874610900879,7,0.18704454600811005,,,
2,,8,,0.18123285472393036,,
2,,9,,0.17106419801712036,,
2,,10,,0.16447673738002777,,
2,,11,,0.1605229675769806,,
,,4,,,,0.1558300107717514
,,5,,,,0.1558300107717514
2,,11,,,0.1558300107717514,
2,9.955018997192383,11,0.16932418942451477,,,
3,,12,,0.1558300107717514,,
3,,13,,0.15268643200397491,,
3,,14,,0.14755307137966156,,
3,,15,,0.1383018046617508,,
,,6,,,,0.1272350698709488
,,7,,,,0.1272350698709488
3,,15,,,0.1272350698709488,
3,12.389664649963379,15,0.14859282970428467,,,
4,,16,,0.1272350698709488,,
4,,17,,0.12296009808778763,,
4,,18,,0.11677374690771103,,
4,,19,,0.11693956702947617,,
,,8,,,,0.11347200721502304
,,9,,,,0.11347200721502304
4,,19,,,0.11347200721502304,
4,14.71801471710205,19,0.12097712606191635,,,
5,,20,,0.11347200721502304,,
5,,21,,0.10740111023187637,,
5,,22,,0.10465557873249054,,
5,,23,,0.10012558847665787,,
,,10,,,,0.09117872267961502
,,11,,,,0.09117872267961502
5,,23,,,0.09117872267961502,
5,16.97054672241211,23,0.10641356557607651,,,
6,,24,,0.09117872267961502,,
6,,25,,0.08867395669221878,,
6,,26,,0.08598433434963226,,
6,,27,,0.08186888694763184,,
,,12,,,,0.07844865322113037
,,13,,,,0.07844865322113037
6,,27,,,0.07844865322113037,
6,19.165508270263672,27,0.08692647516727448,,,
7,,28,,0.07844865322113037,,
7,,29,,0.07326249778270721,,
7,,30,,0.07876802980899811,,
7,,31,,0.07657767832279205,,
,,14,,,,0.07370056957006454
,,15,,,,0.07370056957006454
7,,31,,,0.07370056957006454,
7,21.31478500366211,31,0.07676421105861664,,,
8,,32,,0.07370056957006454,,
8,,33,,0.07057683914899826,,
8,,34,,0.06553750485181808,,
8,,35,,0.06179710105061531,,
,,16,,,,0.05569298937916756
,,17,,,,0.05569298937916756
8,,35,,,0.05569298937916756,
8,23.426729202270508,35,0.06790300458669662,,,
9,,36,,0.05569298937916756,,
9,,37,,0.05231235548853874,,
9,,38,,0.05661291256546974,,
9,,39,,0.05817614495754242,,
,,18,,,,0.05087902396917343
,,19,,,,0.05087902396917343
9,,39,,,0.05087902396917343,
9,25.50736427307129,39,0.05569859966635704,,,
10,,40,,0.05087902396917343,,
10,,41,,0.045673418790102005,,
10,,42,,0.04563947767019272,,
10,,43,,0.0451929047703743,,
,,20,,,,0.04456664249300957
,,21,,,,0.04456664249300957
10,,43,,,0.04456664249300957,
10,27.561208724975586,43,0.04684620350599289,,,
11,,44,,0.04456664249300957,,
11,,45,,0.04125712811946869,,
11,,46,,0.04054386913776398,,
11,,47,,0.038551703095436096,,
,,22,,,,0.036665793508291245
,,23,,,,0.036665793508291245
11,,47,,,0.036665793508291245,
11,29.591896057128906,47,0.04122983664274216,,,
12,,48,,0.036665793508291245,,
12,,49,,0.036838360130786896,,
12,,50,,0.03669144585728645,,
12,,51,,0.03713643178343773,,
,,24,,,,0.036736272275447845
,,25,,,,0.036736272275447845
12,,51,,,0.036736272275447845,
12,31.602195739746094,51,0.036833006888628006,,,
13,,52,,0.036736272275447845,,
13,,53,,0.03623358905315399,,
13,,54,,0.03746384009718895,,
13,,55,,0.035448819398880005,,
,,26,,,,0.036344483494758606
,,27,,,,0.036344483494758606
13,,55,,,0.036344483494758606,
13,33.594444274902344,55,0.03647062927484512,,,
14,,56,,0.036344483494758606,,
14,,57,,0.0362129807472229,,
14,,58,,0.03315369412302971,,
14,,59,,0.03380823880434036,,
,,28,,,,0.033671386539936066
,,29,,,,0.033671386539936066
14,,59,,,0.033671386539936066,
14,35.570552825927734,59,0.03487984836101532,,,
15,,60,,0.033671386539936066,,
15,,61,,0.031060446053743362,,
15,,62,,0.03130088001489639,,
15,,63,,0.03155643865466118,,
